44.2242558,-76.4971537,57.27,0.003,nan,nan,nan,1685461977.8869925
44.2242559,-76.4971538,57.264,0.008,0.0,0.01,-0.01,1685461978.3883078
44.2242559,-76.4971538,57.264,0.028,-0.01,0.01,-0.01,1685461978.4387965
44.2242559,-76.4971538,57.255,0.008,-0.03,0.01,0.0,1685461978.4899423
44.2242559,-76.4971538,57.255,0.008,0.0,0.0,-0.01,1685461978.540416
44.224256,-76.4971539,57.245,0.01,0.0,0.0,-0.01,1685461978.5909712
44.224256,-76.4971539,57.239,0.017,0.01,0.01,-0.01,1685461978.6414504
44.2242561,-76.497154,57.236,0.007,-0.01,0.0,-0.02,1685461978.6919289
44.2242561,-76.497154,57.238,0.002,-0.01,0.01,-0.01,1685461978.742408
44.2242562,-76.497154,57.241,0.018,0.0,0.01,-0.01,1685461978.792888
44.2242563,-76.4971541,57.23,0.012,-0.02,0.0,-0.01,1685461978.8434885
44.2242563,-76.4971541,57.23,0.012,0.0,0.02,0.0,1685461978.8939822
44.2242563,-76.4971542,57.219,0.028,0.0,0.02,0.0,1685461978.9444838
44.2242564,-76.4971543,57.211,0.032,-0.01,0.03,0.01,1685461978.9950829
44.2242564,-76.4971543,57.199,0.053,-0.03,0.02,0.01,1685461979.0456035
44.2242564,-76.4971543,57.199,0.053,-0.05,0.02,0.01,1685461979.0960984
44.2242564,-76.4971544,57.194,0.03,-0.05,0.02,0.01,1685461979.1466012
44.2242565,-76.4971544,57.189,0.028,-0.03,0.02,0.0,1685461979.1971393
44.2242565,-76.4971543,57.188,0.035,-0.01,0.03,0.01,1685461979.2476904
44.2242565,-76.4971544,57.187,0.038,0.03,0.03,0.0,1685461979.2982469
44.2242565,-76.4971544,57.187,0.038,0.04,0.01,-0.01,1685461979.3488932
44.2242566,-76.4971544,57.184,0.013,0.04,0.01,-0.01,1685461979.3994033
44.2242566,-76.4971545,57.17,0.012,0.01,0.0,-0.01,1685461979.4501445
44.2242567,-76.4971545,57.163,0.01,0.01,0.01,-0.01,1685461979.5006244
44.2242567,-76.4971545,57.163,0.01,0.0,0.02,0.0,1685461979.551101
44.2242567,-76.4971546,57.15,0.006,0.0,0.02,0.0,1685461979.6014955
44.2242568,-76.4971547,57.136,0.048,-0.01,0.01,-0.01,1685461979.651857
44.2242568,-76.4971548,57.133,0.058,-0.04,0.03,0.02,1685461979.7028399
44.2242569,-76.4971548,57.136,0.029,-0.05,0.02,0.01,1685461979.753165
44.2242569,-76.4971548,57.137,0.029,-0.03,0.01,0.0,1685461979.803534
44.2242569,-76.4971548,57.136,0.02,-0.03,0.0,-0.01,1685461979.8539734
44.2242569,-76.4971548,57.136,0.02,-0.02,0.0,-0.01,1685461979.9043918
44.224257,-76.4971548,57.137,0.022,-0.02,0.0,-0.01,1685461979.954876
