44.2241452,-76.4971992,99.962,0.052,05:17:2023:11:23:29.299421
44.2241456,-76.4971991,99.929,0.051,05:17:2023:11:23:29.838097
44.2241458,-76.4971991,99.931,0.038,05:17:2023:11:23:29.838416
44.224146,-76.497199,99.92,0.02,05:17:2023:11:23:29.839092
44.2241461,-76.497199,99.916,0.007,05:17:2023:11:23:29.839479
44.2241466,-76.4971989,99.901,0.032,05:17:2023:11:23:29.841309
44.2241466,-76.4971989,99.901,0.032,05:17:2023:11:23:29.841613
44.2241467,-76.4971989,99.9,0.019,05:17:2023:11:23:29.841961
44.2241469,-76.4971989,99.891,0.014,05:17:2023:11:23:29.842806
44.2241471,-76.4971989,99.888,0.02,05:17:2023:11:23:29.886486
44.2241473,-76.4971991,99.909,0.038,05:17:2023:11:23:29.943009
44.2241475,-76.4971991,99.899,0.037,05:17:2023:11:23:30.110309
44.224148,-76.4971991,99.878,0.029,05:17:2023:11:23:30.167173
44.2241481,-76.4971991,99.872,0.039,05:17:2023:11:23:30.224367
44.2241484,-76.4971991,99.854,0.046,05:17:2023:11:23:30.281064
44.2241486,-76.4971991,99.847,0.028,05:17:2023:11:23:30.338018
44.2241489,-76.4971991,99.833,0.036,05:17:2023:11:23:30.394995
44.2241494,-76.4971992,99.814,0.032,05:17:2023:11:23:30.572539
44.2241496,-76.4971993,99.817,0.037,05:17:2023:11:23:30.629485
44.2241498,-76.4971994,99.819,0.02,05:17:2023:11:23:30.686246
44.2241499,-76.4971995,99.824,0.019,05:17:2023:11:23:30.743243
44.2241501,-76.4971994,99.816,0.045,05:17:2023:11:23:30.800091
44.2241506,-76.4971996,99.814,0.036,05:17:2023:11:23:30.985895
44.2241506,-76.4971996,99.814,0.036,05:17:2023:11:23:30.993409
44.2241508,-76.4971996,99.799,0.021,05:17:2023:11:23:31.169295
44.2241509,-76.4971997,99.795,0.029,05:17:2023:11:23:31.226247
44.2241512,-76.4971998,99.793,0.038,05:17:2023:11:23:31.283208
44.2241514,-76.4971999,99.793,0.029,05:17:2023:11:23:31.340123
44.2241515,-76.4972002,99.817,0.015,05:17:2023:11:23:31.397106
44.2241517,-76.4972005,99.837,0.017,05:17:2023:11:23:31.437892
44.2241517,-76.4972005,99.837,0.017,05:17:2023:11:23:31.452392
44.2241519,-76.4972008,99.856,0.038,05:17:2023:11:23:31.495766
44.2241523,-76.4972009,99.849,0.065,05:17:2023:11:23:31.551863
44.2241527,-76.4972008,99.823,0.071,05:17:2023:11:23:31.608820
44.224153,-76.4972008,99.801,0.062,05:17:2023:11:23:31.665863
44.2241536,-76.4972008,99.793,0.029,05:17:2023:11:23:31.846902
44.2241536,-76.4972008,99.793,0.029,05:17:2023:11:23:31.854177
44.2241539,-76.4972007,99.771,0.023,05:17:2023:11:23:31.903919
44.2241542,-76.4972007,99.754,0.032,05:17:2023:11:23:31.969353
44.2241546,-76.4972006,99.732,0.021,05:17:2023:11:23:32.026120
44.224155,-76.4972005,99.71,0.049,05:17:2023:11:23:32.083130
44.2241552,-76.4972004,99.686,0.03,05:17:2023:11:23:32.140000
44.2241554,-76.4972004,99.687,0.022,05:17:2023:11:23:32.180876
44.2241554,-76.4972004,99.687,0.022,05:17:2023:11:23:32.195544
44.2241556,-76.4972003,99.67,0.038,05:17:2023:11:23:32.237680
44.2241561,-76.4972003,99.644,0.04,05:17:2023:11:23:32.294591
44.2241566,-76.4972002,99.617,0.05,05:17:2023:11:23:32.320713
44.2241569,-76.4972002,99.604,0.027,05:17:2023:11:23:32.377713
44.2241572,-76.4972002,99.586,0.027,05:17:2023:11:23:32.434678
44.2241575,-76.4972,99.553,0.032,05:17:2023:11:23:32.491561
44.2241578,-76.4971999,99.526,0.012,05:17:2023:11:23:32.658716
44.2241582,-76.4971999,99.504,0.012,05:17:2023:11:23:32.715510
44.2241585,-76.4971998,99.493,0.01,05:17:2023:11:23:32.772906
44.2241588,-76.4971999,99.482,0.024,05:17:2023:11:23:32.798823
44.2241591,-76.4971997,99.465,0.023,05:17:2023:11:23:32.864065
44.2241594,-76.4971995,99.453,0.042,05:17:2023:11:23:32.921166
44.2241597,-76.4971996,99.461,0.047,05:17:2023:11:23:32.977986
44.22416,-76.4971996,99.45,0.035,05:17:2023:11:23:33.035094
44.2241605,-76.4971996,99.438,0.05,05:17:2023:11:23:33.082512
44.2241605,-76.4971996,99.438,0.05,05:17:2023:11:23:33.103932
44.2241609,-76.4971998,99.426,0.092,05:17:2023:11:23:33.139791
44.2241614,-76.4972,99.419,0.127,05:17:2023:11:23:33.196651
44.2241618,-76.4972001,99.418,0.145,05:17:2023:11:23:33.253789
44.2241621,-76.4972002,99.418,0.144,05:17:2023:11:23:33.417555
44.2241624,-76.4972002,99.415,0.111,05:17:2023:11:23:33.474340
