44.2242783,-76.4970696,85.12,0.027,05:17:2023:11:14:11.849927
44.2242784,-76.4970697,85.111,0.03,05:17:2023:11:14:11.862526
44.2242784,-76.4970699,85.103,0.043,05:17:2023:11:14:11.913098
44.2242784,-76.4970701,85.105,0.052,05:17:2023:11:14:11.949708
44.2242784,-76.4970703,85.113,0.048,05:17:2023:11:14:12.006513
44.2242784,-76.4970705,85.116,0.044,05:17:2023:11:14:12.050708
44.2242785,-76.4970706,85.1,0.035,05:17:2023:11:14:12.107562
44.2242786,-76.4970707,85.077,0.047,05:17:2023:11:14:12.148669
44.2242786,-76.4970707,85.077,0.047,05:17:2023:11:14:12.162933
44.2242786,-76.4970707,85.052,0.038,05:17:2023:11:14:12.205261
44.2242788,-76.4970707,85.022,0.055,05:17:2023:11:14:12.385483
44.2242791,-76.497071,84.952,0.021,05:17:2023:11:14:12.426059
44.2242791,-76.497071,84.952,0.021,05:17:2023:11:14:12.440612
44.2242792,-76.4970711,84.931,0.018,05:17:2023:11:14:12.482978
44.2242793,-76.4970712,84.913,0.004,05:17:2023:11:14:12.539703
44.2242793,-76.4970713,84.907,0.015,05:17:2023:11:14:12.596654
44.2242794,-76.4970715,84.894,0.037,05:17:2023:11:14:12.661926
44.2242795,-76.4970716,84.884,0.048,05:17:2023:11:14:12.719086
44.2242795,-76.4970717,84.872,0.044,05:17:2023:11:14:12.755452
44.2242796,-76.4970717,84.854,0.02,05:17:2023:11:14:12.799397
44.2242798,-76.4970719,84.836,0.02,05:17:2023:11:14:12.856348
44.2242798,-76.497072,84.824,0.019,05:17:2023:11:14:12.906961
44.2242798,-76.4970721,84.824,0.032,05:17:2023:11:14:12.957611
44.2242798,-76.4970722,84.828,0.028,05:17:2023:11:14:13.001522
44.2242798,-76.4970724,84.831,0.056,05:17:2023:11:14:13.052158
44.2242799,-76.4970725,84.822,0.049,05:17:2023:11:14:13.109192
44.2242799,-76.4970728,84.821,0.081,05:17:2023:11:14:13.293307
44.22428,-76.4970729,84.818,0.078,05:17:2023:11:14:13.336414
44.2242801,-76.4970732,84.815,0.079,05:17:2023:11:14:13.362502
44.2242801,-76.4970733,84.806,0.072,05:17:2023:11:14:13.545279
44.2242802,-76.4970733,84.8,0.045,05:17:2023:11:14:13.576685
44.2242802,-76.4970735,84.795,0.044,05:17:2023:11:14:13.624278
44.2242802,-76.4970735,84.795,0.044,05:17:2023:11:14:13.645655
44.2242802,-76.4970736,84.812,0.045,05:17:2023:11:14:13.674905
44.2242802,-76.4970738,84.821,0.053,05:17:2023:11:14:13.740233
44.2242802,-76.497074,84.818,0.054,05:17:2023:11:14:13.789850
44.2242804,-76.4970741,84.802,0.054,05:17:2023:11:14:13.839513
44.2242805,-76.4970742,84.78,0.05,05:17:2023:11:14:13.876042
44.2242806,-76.4970743,84.766,0.043,05:17:2023:11:14:13.919916
44.2242807,-76.4970744,84.75,0.046,05:17:2023:11:14:13.970599
44.2242808,-76.4970746,84.739,0.06,05:17:2023:11:14:14.018169
44.2242808,-76.4970746,84.739,0.06,05:17:2023:11:14:14.039567
44.2242808,-76.4970747,84.731,0.035,05:17:2023:11:14:14.075103
44.2242808,-76.4970748,84.731,0.022,05:17:2023:11:14:14.128909
44.2242808,-76.4970748,84.731,0.022,05:17:2023:11:14:14.156606
44.224281,-76.4970752,84.724,0.093,05:17:2023:11:14:14.185861
44.224281,-76.4970753,84.721,0.066,05:17:2023:11:14:14.242980
44.2242811,-76.4970754,84.714,0.047,05:17:2023:11:14:14.426327
44.2242811,-76.4970755,84.7,0.044,05:17:2023:11:14:14.483155
44.2242812,-76.4970757,84.692,0.055,05:17:2023:11:14:14.533842
44.2242812,-76.4970759,84.696,0.077,05:17:2023:11:14:14.584481
44.2242812,-76.497076,84.707,0.052,05:17:2023:11:14:14.635167
44.2242813,-76.4970761,84.703,0.061,05:17:2023:11:14:14.679062
44.2242813,-76.4970761,84.693,0.046,05:17:2023:11:14:14.729733
44.2242813,-76.4970764,84.697,0.033,05:17:2023:11:14:14.788808
44.2242814,-76.4970766,84.68,0.035,05:17:2023:11:14:14.845722
44.2242815,-76.4970769,84.671,0.043,05:17:2023:11:14:14.893266
44.2242817,-76.4970772,84.658,0.056,05:17:2023:11:14:14.937430
44.2242817,-76.4970774,84.661,0.041,05:17:2023:11:14:14.994165
44.2242817,-76.4970777,84.666,0.028,05:17:2023:11:14:15.044812
44.2242818,-76.497078,84.668,0.029,05:17:2023:11:14:15.095458
44.2242818,-76.4970783,84.675,0.031,05:17:2023:11:14:15.149315
44.2242819,-76.4970786,84.67,0.04,05:17:2023:11:14:15.193178
44.224282,-76.4970789,84.671,0.041,05:17:2023:11:14:15.250095
44.224282,-76.4970792,84.684,0.03,05:17:2023:11:14:15.307043
44.224282,-76.4970794,84.686,0.034,05:17:2023:11:14:15.490438
44.2242822,-76.4970798,84.665,0.018,05:17:2023:11:14:15.544281
44.2242822,-76.4970798,84.665,0.018,05:17:2023:11:14:15.571930
44.2242822,-76.4970801,84.66,0.011,05:17:2023:11:14:15.601194
44.2242823,-76.4970801,84.653,0.029,05:17:2023:11:14:15.658138
44.2242823,-76.4970802,84.644,0.03,05:17:2023:11:14:15.715087
44.2242823,-76.4970803,84.651,0.01,05:17:2023:11:14:15.765746
44.2242823,-76.4970805,84.657,0.026,05:17:2023:11:14:15.816520
44.2242824,-76.4970806,84.651,0.033,05:17:2023:11:14:15.867106
44.2242824,-76.4970806,84.648,0.023,05:17:2023:11:14:15.917789
44.2242825,-76.4970808,84.645,0.021,05:17:2023:11:14:15.958570
44.2242825,-76.4970808,84.645,0.021,05:17:2023:11:14:15.973200
44.2242825,-76.4970809,84.637,0.029,05:17:2023:11:14:16.009228
44.2242826,-76.497081,84.621,0.022,05:17:2023:11:14:16.059891
44.2242826,-76.4970811,84.616,0.027,05:17:2023:11:14:16.110594
44.2242826,-76.4970812,84.619,0.022,05:17:2023:11:14:16.161263
44.2242826,-76.4970813,84.617,0.017,05:17:2023:11:14:16.218207
44.2242827,-76.4970816,84.622,0.034,05:17:2023:11:14:16.385942
44.2242827,-76.4970819,84.619,0.04,05:17:2023:11:14:16.442796
44.2242829,-76.4970824,84.606,0.019,05:17:2023:11:14:16.490520
44.2242829,-76.4970824,84.606,0.019,05:17:2023:11:14:16.512067
44.2242829,-76.4970825,84.6,0.023,05:17:2023:11:14:16.547479
44.224283,-76.4970828,84.594,0.033,05:17:2023:11:14:16.604289
44.2242831,-76.4970831,84.598,0.049,05:17:2023:11:14:16.661250
44.2242831,-76.4970834,84.601,0.039,05:17:2023:11:14:16.708938
44.2242831,-76.4970834,84.601,0.039,05:17:2023:11:14:16.730288
44.2242831,-76.4970837,84.611,0.03,05:17:2023:11:14:16.767906
44.2242831,-76.497084,84.612,0.04,05:17:2023:11:14:16.824730
44.2242832,-76.4970842,84.612,0.05,05:17:2023:11:14:16.861282
44.2242832,-76.4970846,84.617,0.066,05:17:2023:11:14:16.918383
44.2242832,-76.4970849,84.623,0.078,05:17:2023:11:14:16.954912
44.2242832,-76.4970851,84.634,0.075,05:17:2023:11:14:17.011733
44.2242833,-76.4970854,84.622,0.059,05:17:2023:11:14:17.055659
44.2242834,-76.4970856,84.615,0.039,05:17:2023:11:14:17.106405
44.2242835,-76.4970859,84.607,0.035,05:17:2023:11:14:17.157176
44.2242836,-76.4970861,84.596,0.03,05:17:2023:11:14:17.213976
44.2242837,-76.4970866,84.588,0.034,05:17:2023:11:14:17.395483
44.2242837,-76.4970866,84.588,0.034,05:17:2023:11:14:17.402825
44.2242838,-76.4970869,84.584,0.013,05:17:2023:11:14:17.452200
44.2242839,-76.4970872,84.579,0.014,05:17:2023:11:14:17.509279
44.224284,-76.4970876,84.582,0.021,05:17:2023:11:14:17.549815
44.224284,-76.4970876,84.582,0.021,05:17:2023:11:14:17.564374
44.2242844,-76.4970883,84.537,0.026,05:17:2023:11:14:17.590488
44.2242844,-76.4970885,84.523,0.015,05:17:2023:11:14:17.772896
44.2242844,-76.4970885,84.523,0.015,05:17:2023:11:14:17.794254
44.2242845,-76.4970888,84.508,0.025,05:17:2023:11:14:17.820366
